,n-paraffins,iso-paraffins,1R-cycloparaffins,2R-cycloparaffins,3R-cycloparaffins,1R-aromatics,2R-aromatics,cycloaromatics
C5,0.0009642298682592809,0.0008894535712897778,0.0032096141949295998,0.0,0.0,0.0,0.0,0.0
C6,0.009129464626312256,0.007203672546893358,0.02800581231713295,0.0,0.0,0.0048570954240858555,0.0,0.0
C7,0.06625436991453171,0.06713096052408218,0.19613438844680786,0.0,0.0,0.06981167942285538,0.0,0.0
C8,0.3286062479019165,0.41171446442604065,0.896752119064331,0.07200063765048981,0.0,0.5984359979629517,0.0,0.0
C9,1.5167971849441528,1.7355362176895142,2.117522954940796,0.6617242097854614,0.0,2.2015109062194824,0.006042498163878918,0.03163114935159683
C10,2.2673590183258057,4.591834545135498,3.3442888259887695,1.0850573778152466,0.0825837031006813,2.250408887863159,0.21862013638019562,0.45583629608154297
C11,2.458256483078003,5.8858747482299805,3.1785178184509277,1.927924633026123,0.04633093252778053,1.4770393371582031,0.5698724389076233,0.6819028258323669
C12,2.2671632766723633,22.21953582763672,2.560988664627075,2.5264523029327393,0.4346449077129364,0.7466686367988586,0.45479142665863037,0.6494448184967041
C13,1.24504816532135,3.7094993591308594,2.326906442642212,1.2450944185256958,0.302733838558197,0.5052259564399719,0.27197277545928955,0.5578451156616211
C14,0.8525654077529907,2.705260753631592,1.4053514003753662,0.7632930874824524,0.1879776418209076,0.28756415843963623,0.13970273733139038,0.29078012704849243
C15,0.4705132246017456,1.8424477577209473,0.8109934329986572,0.3541109263896942,0.12159706652164459,0.18510384857654572,0.08410216122865677,0.24130140244960785
C16,0.21439439058303833,2.9878454208374023,0.3471008539199829,0.1702212542295456,0.04725547507405281,0.12851469218730927,0.000863213965203613,0.0
C17,0.08481675386428833,0.4721890985965729,0.11832267045974731,0.06779056787490845,9.470154509472195e-06,0.001726427930407226,0.0,0.0
C18,0.02486560121178627,0.16919243335723877,0.05243927240371704,0.04223855957388878,0.0,0.0,0.0,0.0
C19,0.009884222410619259,0.06554193049669266,0.022266749292612076,0.0,0.0,0.0,0.0,0.0
C20,0.0026967981830239296,0.29800325632095337,0.0060911644250154495,0.0,0.0,0.0,0.0,0.0
C21,0.0007430206169374287,0.003992206417024136,0.008797782473266125,0.0,0.0,0.0,0.0,0.0
C22,0.0005686721415258944,0.0024104814510792494,0.0,0.0,0.0,0.0,0.0,0.0
C23,0.00028722421848215163,0.0013484236551448703,0.0,0.0,0.0,0.0,0.0,0.0
C24,0.0,0.024942824617028236,4.360324237495661e-05,0.0,0.0,0.0,0.0,0.0
